target_id	length	eff_length	est_counts	tpm
DAnjou_Chr10v0.1_25888.1	567	408.237	9	0.791383
DAnjou_Chr10v0.1_25887.1	858	699.107	95	4.87794
DAnjou_Chr10v0.1_25886.1	2787	2628.11	420	5.73672
DAnjou_Chr10v0.1_25885.1	870	711.107	6	0.302882
DAnjou_Chr10v0.1_25884.1	1032	873.107	1	0.041114
DAnjou_Chr10v0.1_25883.1	3150	2991.11	1634.51	19.6161
DAnjou_Chr10v0.1_25882.1	1509	1350.11	106	2.81835
DAnjou_Chr10v0.1_25881.1	729	570.107	1183	74.4878
DAnjou_Chr10v0.1_25880.1	336	182.236	28	5.51545
DAnjou_Chr10v0.1_25879.1	315	162.532	114	25.1781
DAnjou_Chr10v0.1_25878.1	3582	3423.11	3586.26	37.6079
DAnjou_Chr10v0.1_25877.1	495	336.665	450.888	48.076
DAnjou_Chr10v0.1_25876.1	6375	6216.11	1260	7.27628
DAnjou_Chr10v0.1_25875.1	624	465.176	141	10.8808
DAnjou_Chr10v0.1_25874.1	999	840.107	24	1.0255
DAnjou_Chr10v0.1_25873.1	2871	2712.11	14	0.185301
DAnjou_Chr10v0.1_25872.1	489	330.681	0	0
DAnjou_Chr10v0.1_25871.1	831	672.107	262	13.9933
DAnjou_Chr10v0.1_25870.1	2214	2055.11	1061.89	18.5482
DAnjou_Chr10v0.1_25869.1	2467	2308.11	63	0.97981
DAnjou_Chr10v0.1_25868.1	615	456.176	168.458	13.2562
DAnjou_Chr10v0.1_25867.1	1845	1686.11	868.252	18.4849
DAnjou_Chr10v0.1_25866.1	2214	2055.11	163	2.84715
DAnjou_Chr10v0.1_25865.1	479	320.791	30	3.35703
DAnjou_Chr10v0.1_25864.1	336	182.236	32	6.30338
DAnjou_Chr10v0.1_25863.1	429	271.627	0	0
DAnjou_Chr10v0.1_25862.1	1488	1329.11	395	10.6683
DAnjou_Chr10v0.1_25861.1	604	445.176	13	1.04826
DAnjou_Chr10v0.1_25860.1	1701	1542.11	913.453	21.2632
DAnjou_Chr10v0.1_25859.1	864	705.107	14203.6	723.102
DAnjou_Chr10v0.1_25858.1	336	182.236	0	0
DAnjou_Chr10v0.1_25857.1	2940	2781.11	661.35	8.53632
DAnjou_Chr10v0.1_25856.1	360	204.998	62	10.8567
DAnjou_Chr10v0.1_25855.1	930	771.107	354.963	16.5244
DAnjou_Chr10v0.1_25854.1	2010	1851.11	381	7.3884
DAnjou_Chr10v0.1_25853.1	792	633.107	1	0.0566996
DAnjou_Chr10v0.1_25852.1	560	401.237	0	0
DAnjou_Chr10v0.1_25851.1	1137	978.107	276.603	10.1515
